rut,nombre,password,telefono,cant_libros
6.295.627-0,Kimberly Farmer,b'ZB5JYrETjclGC93LfnG8xxOPMVuYgxq1MbuKlcRYk2Q=',986353215,0
13.260.396-2,Marc Bishop,b'mk1LbjQt1N6XXGHA_mf3pQ05A_8HjpLe0_cc6O7hoUA=',915911951,1
33.651.519-3,Andrew Carlson,b'08CQjAhXIjmwIxhb93q2wiSA9I-DovUQ4ozIw7u3ylA=',973156325,5
45.595.787-9,Tina Price,b'zeADpYeGV1d4T5cVTK58YkW0d_QPQkkE3dCzsozIGKU=',995525975,0
36.247.917-k,Thomas Brown,b'hqBN6NcPOr5afViEH_6uV24Dq98N7DgTmz12wtZ4048=',932642399,2
17.742.213-0,Joseph Stewart,b'3amSghZmr5sQCbYWkEeUhn3c6l1P8zVlKXDX-OmZE84=',963364106,4
13.541.866-8,Christine Weaver,b'tUw9C5v7RpIyXdNpTM-NWGo6GdBTAg2BBpaKT2MyhOg=',984126222,3
17.441.576-9,Kimberly Avery,b'ktzYveHkH8SJIczx3T7o2DPaldRnqRl0odaacFe4w2A=',925715013,4
10.334.903-7,Michael Davies,b'OeuvyhrXlD3zPH-I8ZyJNEkLkimYJv-k7q3b5u5Falo=',945362048,0
44.137.379-6,Randy Tanner,b'aTNjX3m_QNWtvISgLPHCxAQvm255IHQuD2YFKcvRo40=',950444304,1
5.199.623-k,Walter Walters,b'Zvksm01HhkC1jdhf2W6l6MS8WijMsEtNltcCxvc9wdo=',918399939,5
46.464.647-4,Robert Frazier,b's7idbG_5jdqfuFdzceyvp6Z04DlNd9OU6wW_-w2J70o=',909060805,5
2.715.701-4,Lori Reynolds,b'DAa4uG3GZSqVh8eoKxsvh4WfmPXOlcJN-BZSRKNfymo=',910521925,1
9.389.855-2,Terri Blake,b'qdDrg6MX2gFBT2Ktmw08XLp3762j6e7h35jZkURYRGU=',993482824,3
47.253.845-6,Darrell Powell,b'8M9FyyJ6OpkW7Z5DYzgqcNE5GTf1TKwcMD83pDyTtrY=',969395685,1
43.461.249-0,Teresa Torres,b'_5X9bmA6gGEbQOn7EfuLsJvm5hG2EIdvjuYUkLCCDKQ=',956834035,3
17.749.922-4,Rebecca Shaw,b'-RBAas4MK5TjW8u__T4-97fBV07nCEIvBY-N3Unlk8A=',931919226,3
37.225.675-2,Kelly Rose,b'4EVXmn9YRSdI7Xxq5OXejg73JKjolORMcN03fDxGmcQ=',967230505,5
28.763.531-7,Melissa Mitchell,b'zTMHuz6_er1qTNiKCiHAi7BCWqDp1TPDan4-Z_eRzts=',952757180,1
5.730.156-0,Brent Tucker,b'1vl0u0TNLBBKP6XRwoeBZ7kIB7vUx0ln7d3oZM9eRYE=',994472866,4
8.862.205-6,Kristy Garza,b'Tt30xYd-rJvz9zix97w2F7Ocz3tMUKQXYYLhCMtC1NA=',950070031,0
26.361.716-k,Gregory Simmons,b'ucNys0dorGSblIqKo9k-6SiZ0ZVt2-yI-U3BzYq6Ui0=',948443859,1
28.617.186-3,Sara Reynolds,b'CHsLii1We1s4WrgYBqLSCk6qPbc6nOSTyjA-bANe5RY=',908820141,3
50.992.403-5,Brittany Welch,b'9Yh5CPWXS9GOfYaFHZdM1-RpJjumvLLws5ER8OQT9yA=',962329714,3
15.925.620-0,Garrett Nunez,b'cFhL1loskzcbr17xhvH_Gq-d9OOw9foTnMV4jfN5p1c=',998931232,4
21.517.342-7,Crystal Cunningham,b'zprvQmU20kzZfBVcTnVzwSYXKcxgJWO8JXzxxDoQTZ4=',928982676,1
5.400.396-9,Ashley Murray,b'SZNZVIY_7LXoVc3v9oIcKREtJ0KmsXyNWt3VMtnqg7M=',978368547,2
16.868.763-3,Latasha Leach,b'bNdZa1Rtf5MnDFeGrBu2klIObCEeB6SQ0o8U0UpSaX0=',911236968,4
17.777.962-6,Brent Nichols,b'Rdq64kcQkSjBNtGK-nAaoggUaBGA32hLyc7fOjPCo24=',996901667,3
40.571.807-2,Mary Walters,b'rJoiD-Tq9hiVzRcZI6UbOSeDDDexlVNl9-Xag1A6chc=',902126117,1
3.329.767-7,Paul Williams,b'J_n76DnlUCQpIpmxxlh0SkM_yJYTb3Z4BWDaPZ_QFPc=',903350279,0
47.855.585-8,Andrew Mcdonald,b'_JFazCU68ELNMPknnBH6dLm7fYfrOKC1eRWkqZURjn8=',945278807,3
46.412.917-7,Michael Rios,b'BDHMLBRUphKOjLmxfCr-tZvSSqsu7dCcD39kjAVddLE=',929347140,5
32.700.439-9,Jamie Delgado,b'4-iqBO0Bqgj7kAMYu3jmb11U45z8P8-rqSDOQdtIZJw=',915693505,1
44.937.259-2,Joseph Quinn,b'x8k5u70yt5EO8Jt6xKaxVvFdQWHsvAfS3kmfTIQciW0=',992914219,2
17.606.739-0,Kiara Jackson,b'FzX_Z5ApNLS0W82CBXDXeWRJT6n4GKMnfvTOOgYIpLA=',943764579,1
40.549.275-5,Lisa Edwards,b'RAlopUcRyuEg8xK8ZaECbYlE1rGjQwKdrSzmyJXWQlk=',934480969,0
30.355.598-0,Steven Burnett,b'hfZVzNzvHQX_WgcaZUI0RMIwQ0Xg6vPkRfUaXaRydJ4=',959473730,3
14.469.643-2,Luis Mccoy,b'Te5TKAurBvc4pm_VbumTYRxgqTNpVfiJqU-WW_nykf8=',960384977,5
20.923.966-5,Molly Wilson,b'pWz8JJemFP8PBiYeelOlljHL17kd8o7O2Ec-SaExpvw=',962699783,0
47.521.309-9,Deanna Silva,b'vleF2oO2WHcoUN0qFM7FjczEDZ_EF2slgRA1pY2js-E=',913390086,2
16.531.810-0,Robert Mahoney,b'9gmAALo-Z-EEL0sPtBX8f0Nm2FqNdmIy_0Oi2kb2XfY=',982929511,3
9.810.334-8,Harold Mathis,b'8-qR8p5TrX70A4w5Crny5lftrKkvEZRSuunw6blpoVw=',989047001,5
28.805.777-5,Leslie Jones,b'ZniAAzIS0_KkRnry1ieecY80uNaBh3X-t5BkM0NYdSA=',986265753,1
19.123.868-6,Brandi Williams,b'HAcgB_9_zISGBUnBYf1myLSdi6FMHZLUFloa_HXCji4=',916778967,1
8.772.709-7,Brittany Estrada,b'zMFWWEaS6mgl3tIaerQChei-st2riXS4ChWI2Q82X6M=',975303602,0
1.929.338-6,Wayne Price,b'2S-LIDGE6pRfwNMK8_GLpcURSvvkdEok8khDdYssfaU=',975612352,2
11.863.534-4,Donna Welch,b'XUa-hYU1QGJRDaA0XwMZmubse98dxCRfpxgRntsF-9o=',936879185,4
1.294.564-k,Rebecca Rowland,b'VkeF4oNeic6hsbJTDYya5vX7z0xnZOYVc-uW48bKmOs=',940009006,2
37.796.343-2,Cristian Lee,b'jodomeBj5m_0K_AnLYk-mC0WcQ-LCtfUHzi3I-klqEw=',970759373,0
27.727.933-8,John Wells,b'cV9ju49dzQ1qnRGMBK4CWWUp30ZtY9lp_ToHrzp32xs=',908214937,0
48.602.622-2,Cindy Perry,b'usZzahIfvbkg3n6dfwUpjcRIM4N2hWNZn-9BcoTiuUo=',971175432,1
30.289.479-k,Paul Lyons,b'SSCfE9ODJ9MpHgChFpW9apkvkOxzHxbSDDj9Yw-V_Gc=',962096793,2
42.642.831-5,Susan Adams,b'zd80GCRG0IMxgi5a5XE15Gkty7jfq6x-KqyVZDv2hXE=',912188334,1
15.959.639-4,Austin Boyd,b'e-0TWiOybQhTOCoFVOqPrY8Uc1MuAIylnHkoCebxTCU=',953163135,3
36.193.504-0,Savannah Mayer,b'R3EYMLjiIYaymG8IuOtPb7975nm21IKhCy8XPc85BwQ=',908247229,5
11.654.765-4,Jill Hall,b'uv9QxVk2p0EbfYkST3Xv4cqdldGn7IlbgxiJS8amuyw=',947596624,0
33.932.649-6,Joseph Williams,b'n6zlOhXFjfp6BQaeFs6eBPIwVPelZXdb0MhurTBHAjE=',963922665,3
